protein,rank
ARF5_HUMAN,0.024762978916514064
SPTN2_HUMAN,0.024321797635043208
KI13B_HUMAN,0.022491990633955388
AP1B1_HUMAN,0.020745128715124798
KI21A_HUMAN,0.02165111942203912
TMED7_HUMAN,0.02828266591962871
ARFG1_HUMAN,0.026366023941819403
ANK2_HUMAN,0.02396448747921143
KLC1_HUMAN,0.022904104503034255
COPZ2_HUMAN,0.02668115441966186
KIF15_HUMAN,0.024208890931567598
DCTN5_HUMAN,0.02545459474138357
KIF2B_HUMAN,0.02465462941790168
KI16B_HUMAN,0.022183545789249068
KIF25_HUMAN,0.02202095969953396
ERD22_HUMAN,0.025428130762413466
RAB1B_HUMAN,0.02982575957758089
TMEDA_HUMAN,0.028600614561701126
KIF3B_HUMAN,0.022596729260831176
RGAP1_HUMAN,0.02313698128557194
SPTN4_HUMAN,0.02475882662535503
GBF1_HUMAN,0.023731452176737437
DC1I2_HUMAN,0.032382002718232675
INS_HUMAN,0.023059351732800475
CYH3_HUMAN,0.02082828538049723
CAPZB_HUMAN,0.027509454017808285
RFIP3_HUMAN,0.018003893759627358
ACAP2_HUMAN,0.010014764679773538
KIF3C_HUMAN,0.021646985437331602
DC1L1_HUMAN,0.025606900669809037
KIFA3_HUMAN,0.022851483470809796
COPA_HUMAN,0.026387350171944234
YKT6_HUMAN,0.029237464239965514
COPB_HUMAN,0.026833709913757726
IQEC1_HUMAN,0.01278296800207103
KI20A_HUMAN,0.024972432378954242
SURF4_HUMAN,0.029169716526189493
GGA1_HUMAN,0.02155904621896499
CDC5L_HUMAN,0.024102443287582327
DC1I1_HUMAN,0.025414257306516818
RAB1A_HUMAN,0.0692235929029453
ACTZ_HUMAN,0.03459920989007654
CAZA2_HUMAN,0.02537834703862844
CAZA1_HUMAN,0.027931005210218213
CD59_HUMAN,0.02743829629938895
SPTN5_HUMAN,0.02469706968964058
FOLR1_HUMAN,0.028735073479277017
USO1_HUMAN,0.028948871154920446
CENPE_HUMAN,0.02419314115784299
KIFC1_HUMAN,0.026940640056718312
KIF9_HUMAN,0.021058450826519165
KIF4A_HUMAN,0.028931235061525316
KIF27_HUMAN,0.022043669116255736
ARF1_HUMAN,0.023098229045748587
ARF3_HUMAN,0.022973084379017197
KLC2_HUMAN,0.02280823322286147
KI21B_HUMAN,0.021850787135081855
DCTN4_HUMAN,0.026162113012712682
KIF6_HUMAN,0.022170356811650933
KI18B_HUMAN,0.023243270798518047
KIF1A_HUMAN,0.022178068943582794
KI26A_HUMAN,0.02352718102425759
KIF5A_HUMAN,0.022877396489420394
TMED3_HUMAN,0.026679638926933095
ARP10_HUMAN,0.029300962649652002
KI20B_HUMAN,0.023320529776844963
DC1L2_HUMAN,0.025181266001820392
