protein,rank
ARF5_HUMAN,0.01737028088860054
ARHG9_HUMAN,0.01736893766642457
ERN1_HUMAN,0.017370428662044732
CDN2A_HUMAN,0.017369761940737263
PDIA1_HUMAN,0.017371605615763654
STX10_HUMAN,0.01737030794277028
GBB4_HUMAN,0.017368534346562846
KIF5C_HUMAN,0.017369586615367028
PUR2_HUMAN,0.017371001008067995
SAC1_HUMAN,0.01737048306294824
SGSM3_HUMAN,0.017369864966867002
GORAB_HUMAN,0.017371197990659365
NPHP3_HUMAN,0.017369752582216146
DAPK1_HUMAN,0.017369374017328038
ST17A_HUMAN,0.017368533565170957
SPTN2_HUMAN,0.01736979046532832
KI13B_HUMAN,0.01736972395498021
RPGF4_HUMAN,0.01736920597491522
DOCK2_HUMAN,0.017369073497575313
STK33_HUMAN,0.0173690854593612
PDK3_HUMAN,0.017369727594978082
TGFI1_HUMAN,0.01736918792264438
POTEF_HUMAN,0.01736973553555072
RPGF5_HUMAN,0.017368429701675712
AP1B1_HUMAN,0.01737011625366632
HPS5_HUMAN,0.017367821723321342
ARHGG_HUMAN,0.017368446707371164
PATL2_HUMAN,0.017369044498974515
CAPS2_HUMAN,0.01736823763462405
M3K2_HUMAN,0.017369600070377366
TBAL3_HUMAN,0.017369611743259714
GNAL_HUMAN,0.0173640128356136
CDC42_HUMAN,0.017369817632767664
ROS1_HUMAN,0.01736921145902318
MPP8_HUMAN,0.017368897666175033
GGA3_HUMAN,0.017370551488954247
MUSK_HUMAN,0.01736924159281146
SI1L2_HUMAN,0.01736785346032011
TBC17_HUMAN,0.017370377755996935
AP2B1_HUMAN,0.017370092810584978
KI21A_HUMAN,0.017370127943479665
HIPK2_HUMAN,0.017369971591637515
ANKS6_HUMAN,0.017369960861539697
STK38_HUMAN,0.01736852232683991
SC22A_HUMAN,0.017370849848823738
ASB9_HUMAN,0.017369915789093967
FEM1C_HUMAN,0.01737037020541288
TM1L2_HUMAN,0.01736974110594037
SSH1_HUMAN,0.017369599984681235
ACSL1_HUMAN,0.017370143493398008
PP4C_HUMAN,0.0173701951087528
TBB2B_HUMAN,0.017369927384655565
TMED7_HUMAN,0.017372046790892024
UNC50_HUMAN,0.017367688227848167
RAB9B_HUMAN,0.01737004754285268
NCALD_HUMAN,0.01736940724076487
SMYD2_HUMAN,0.01736847684070451
ARVC_HUMAN,0.017368729261068774
LGAT1_HUMAN,0.017369237312769615
VPS51_HUMAN,0.01737061324022085
PSD3_HUMAN,0.017368732868937538
MK12_HUMAN,0.01736960755384986
ARHG3_HUMAN,0.017368765047358275
RAB10_HUMAN,0.01740370510572303
PTK7_HUMAN,0.017369291456094647
2ABA_HUMAN,0.017370235431817142
IFT27_HUMAN,0.017369132217155494
M3K7_HUMAN,0.017370110050533568
VP33A_HUMAN,0.017370079135123187
PKHG3_HUMAN,0.017365640800622664
2ABB_HUMAN,0.01736931963389899
PDLI4_HUMAN,0.017368824956670116
MYO1F_HUMAN,0.017368800794852545
ZAP70_HUMAN,0.01736918414136197
FER_HUMAN,0.01736926236214989
PGTB1_HUMAN,0.017368410676367903
NGLY1_HUMAN,0.017457443598374336
ARFG1_HUMAN,0.017370531771950904
RGL1_HUMAN,0.01736754936353474
DOCK3_HUMAN,0.01736848002758891
RAB23_HUMAN,0.017370104173312008
FGD4_HUMAN,0.017368991175149985
DOCK8_HUMAN,0.017368358681742312
HHEX_HUMAN,0.01736905107544325
ANK2_HUMAN,0.017370096938397764
K7ENT6_HUMAN,0.01736941502590661
PP1A_HUMAN,0.017370331735829355
SRC_HUMAN,0.017369671030947356
ARHG5_HUMAN,0.01736843654216837
KPCD_HUMAN,0.017369899737672313
DUS10_HUMAN,0.0173688295782682
KDM5B_HUMAN,0.0173689175594137
PPE1_HUMAN,0.017369461250232223
PSN1_HUMAN,0.01737002605397547
CTND2_HUMAN,0.01736848475114827
STX11_HUMAN,0.01736903257768371
FEM1A_HUMAN,0.01737047014859611
KLC1_HUMAN,0.01737003138412145
RHOC_HUMAN,0.017369528688838547
IKKE_HUMAN,0.017369843088552654
MYH13_HUMAN,0.017368954202493493
H3BVE0_HUMAN,0.017369967352142857
DUS19_HUMAN,0.01736869573468605
CDN2B_HUMAN,0.01736953857719074
COPZ2_HUMAN,0.017370641691680757
TBC9B_HUMAN,0.017370031345827083
MYO1B_HUMAN,0.01736916860318248
SLF1_HUMAN,0.017370162638918652
ANR54_HUMAN,0.017369530434760985
AGAP5_HUMAN,0.0173675758321921
GCYA1_HUMAN,0.017369285049642236
KIF15_HUMAN,0.017370787007451524
ASB6_HUMAN,0.017370294425680666
KI13A_HUMAN,0.01737013339414274
LS14B_HUMAN,0.017369910826432584
DCTN5_HUMAN,0.017370332330853614
KIF2B_HUMAN,0.017370151451280957
HPCL1_HUMAN,0.01736909222634906
RERG_HUMAN,0.017368895926035275
DHDDS_HUMAN,0.01737010887235402
KI16B_HUMAN,0.017370144703880073
RAB43_HUMAN,0.017371185326535952
PDPK1_HUMAN,0.01736981510514001
KIF25_HUMAN,0.017370210533968162
IKZF4_HUMAN,0.017367505462741076
EEA1_HUMAN,0.017371068112393875
ERD22_HUMAN,0.01737170425816771
ASB2_HUMAN,0.017369981213240734
PP16A_HUMAN,0.017369099585412152
AGAP4_HUMAN,0.017367606088469677
RHG01_HUMAN,0.017369454109849337
AT10B_HUMAN,0.017368724665131948
KS6R_HUMAN,0.017368842907053483
U119A_HUMAN,0.017370082829686866
AN30A_HUMAN,0.017368846331859932
MYH1_HUMAN,0.017369569310853733
NIM1_HUMAN,0.01736911480780577
GORS1_HUMAN,0.017414304598312343
RAB1B_HUMAN,0.01737143045692376
CABP7_HUMAN,0.01736920143569367
DCLK3_HUMAN,0.0173682810761347
FBX42_HUMAN,0.017369747001285935
NCS1_HUMAN,0.01736881276024602
SCD5_HUMAN,0.017369692326568136
TSC1_HUMAN,0.017369500883377433
POTEE_HUMAN,0.017369587262318395
STX1A_HUMAN,0.01736938124063233
ST32C_HUMAN,0.01736910976079202
MIB1_HUMAN,0.017386170887388627
VAV3_HUMAN,0.017368652050158098
PIFO_HUMAN,0.01736940141232112
DLG4_HUMAN,0.01736942431351945
PRKX_HUMAN,0.017368704915844326
COF1_HUMAN,0.017369790704035826
MK15_HUMAN,0.017369427526560927
CTNA1_HUMAN,0.01736942669373943
LRRK2_HUMAN,0.017369894944666564
DUS23_HUMAN,0.017369631709200598
SND1_HUMAN,0.017370879976866396
SESD1_HUMAN,0.017368213320527497
DOCK6_HUMAN,0.01736853988664076
SPEG_HUMAN,0.017369323190683076
STX16_HUMAN,0.017370634403822662
ANKL1_HUMAN,0.017369470654345597
PSMD4_HUMAN,0.01737080228751234
PFD1_HUMAN,0.017370876876131158
CLHC1_HUMAN,0.017369625843035294
GNAQ_HUMAN,0.01736879234847889
TMEDA_HUMAN,0.017371943236827902
SYNP2_HUMAN,0.017368822802139125
GLUT4_HUMAN,0.017369891024006153
EGFR_HUMAN,0.01736976984960532
GBB2_HUMAN,0.017368809185415994
MYO6_HUMAN,0.017369380544893245
RGL3_HUMAN,0.01736709762409219
MP2K1_HUMAN,0.01736988075249683
ANR29_HUMAN,0.0173687875284217
GSK3B_HUMAN,0.017370117909361556
KC1AL_HUMAN,0.01736875342902706
