protein,rank
ARF5_HUMAN,0.0003520013538502269
SPTN2_HUMAN,0.0003514877554917447
KI13B_HUMAN,0.00028271666354063695
AP1B1_HUMAN,0.00032576348374398743
KI21A_HUMAN,0.0002776774579223642
TMED7_HUMAN,0.000340563054501988
ARFG1_HUMAN,0.00034696252035593556
ANK2_HUMAN,0.00038063107497077355
KLC1_HUMAN,0.00038830624224966384
COPZ2_HUMAN,0.0003418036386613309
KIF15_HUMAN,0.0003405582787126282
DCTN5_HUMAN,0.0003782617212174199
KIF2B_HUMAN,0.000349449478073035
KI16B_HUMAN,0.00028793965052580013
KIF25_HUMAN,0.000285558491432774
ERD22_HUMAN,0.0003417158561267008
RAB1B_HUMAN,0.00029864301905855277
TMEDA_HUMAN,0.0003252694781488541
KIF3B_HUMAN,0.0003357677399419088
RGAP1_HUMAN,0.00033746622068190377
SPTN4_HUMAN,0.0003600878121370088
GBF1_HUMAN,0.00034920605841372976
DC1I2_HUMAN,0.00040565108133202053
INS_HUMAN,0.0004303297228064915
CYH3_HUMAN,0.00012304473274083076
CAPZB_HUMAN,0.00034684179224927277
RFIP3_HUMAN,0.0005895143654877642
ACAP2_HUMAN,5.7258660559588934e-05
KIF3C_HUMAN,0.00033769757638829205
DC1L1_HUMAN,0.000355366606597021
KIFA3_HUMAN,0.0003340993373160394
COPA_HUMAN,0.00032850102520488866
YKT6_HUMAN,0.0003074226097994356
COPB_HUMAN,0.00030983544529859005
IQEC1_HUMAN,0.00016603917676720885
KI20A_HUMAN,0.00033571083455406043
SURF4_HUMAN,0.00026990964138475665
GGA1_HUMAN,0.00019040175987492856
CDC5L_HUMAN,0.00032387577960460705
DC1I1_HUMAN,0.00035315727331544357
RAB1A_HUMAN,0.00029769864045465306
ACTZ_HUMAN,0.00043857239031108063
CAZA2_HUMAN,0.0003584281611571922
CAZA1_HUMAN,0.0003441377147060994
CD59_HUMAN,0.0002950566743312272
SPTN5_HUMAN,0.00035958003480846603
FOLR1_HUMAN,0.00033792977786749307
USO1_HUMAN,0.0003407821357605635
CENPE_HUMAN,0.00035262106129365874
KIFC1_HUMAN,0.00030195416188957163
KIF9_HUMAN,0.0002803714727312314
KIF4A_HUMAN,0.00035476290144828836
KIF27_HUMAN,0.00028717966521256606
ARF1_HUMAN,0.000339524140298717
ARF3_HUMAN,0.00034275431412885104
KLC2_HUMAN,0.0003512114776664694
KI21B_HUMAN,0.0002855864126672385
DCTN4_HUMAN,0.0003797598665214562
KIF6_HUMAN,0.0002877209345833679
KI18B_HUMAN,0.00029619967541279186
KIF1A_HUMAN,0.0002884403799796559
KI26A_HUMAN,0.00036750845191911065
KIF5A_HUMAN,0.0003586671725689315
TMED3_HUMAN,0.00033909938309725833
ARP10_HUMAN,0.0004185014308442746
KI20B_HUMAN,0.00029460638936844427
DC1L2_HUMAN,0.0003530797881737102
ARFP2_HUMAN,0.00014788094907900362
TMED9_HUMAN,0.0003489639193076277
ANK1_HUMAN,0.0003777095450175799
ARF4_HUMAN,0.00046867097111480524
ASAP2_HUMAN,0.00018913794288280897
DAF_HUMAN,0.00036936284057112153
SPTN1_HUMAN,0.00033200283103054513
