From	To
9606.ENSP00000157600	LMCD1_HUMAN
9606.ENSP00000382356	COSA1_HUMAN
9606.ENSP00000370460	CWC27_HUMAN
9606.ENSP00000380442	PA24F_HUMAN
9606.ENSP00000386881	DYSF_HUMAN
9606.ENSP00000477141	FRS1L_HUMAN
9606.ENSP00000269848	PFKAL_HUMAN
9606.ENSP00000343629	PRC2C_HUMAN
9606.ENSP00000438615	C1R_HUMAN
9606.ENSP00000359077	L1CAM_HUMAN
9606.ENSP00000360793	KI20B_HUMAN
9606.ENSP00000441832	GPR19_HUMAN
9606.ENSP00000262662	CDN2C_HUMAN
9606.ENSP00000367446	EXT1_HUMAN
9606.ENSP00000263663	TAF1B_HUMAN
9606.ENSP00000442600	DAG1_HUMAN
9606.ENSP00000359423	MTM1_HUMAN
9606.ENSP00000310668	NUP93_HUMAN
9606.ENSP00000312017	TLC3A_HUMAN
9606.ENSP00000367022	H2A1C_HUMAN
9606.ENSP00000452909	RL28_HUMAN
9606.ENSP00000303015	U2AFM_HUMAN
9606.ENSP00000339918	XRRA1_HUMAN
9606.ENSP00000327009	CLIP4_HUMAN
9606.ENSP00000428876	FA83A_HUMAN
9606.ENSP00000352295	CGB2_HUMAN
9606.ENSP00000356791	DERM_HUMAN
9606.ENSP00000472308	TX101_HUMAN
9606.ENSP00000167106	VASH1_HUMAN
9606.ENSP00000310375	MLC1_HUMAN
9606.ENSP00000229307	NANOG_HUMAN
9606.ENSP00000274255	SKP2_HUMAN
9606.ENSP00000302833	GIMA1_HUMAN
9606.ENSP00000478892	GNAZ_HUMAN
9606.ENSP00000308193	RNH2C_HUMAN
9606.ENSP00000264828	CO5A3_HUMAN
9606.ENSP00000430075	AMPD1_HUMAN
9606.ENSP00000431418	NTRK1_HUMAN
9606.ENSP00000320219	ARSJ_HUMAN
9606.ENSP00000362068	TAF8_HUMAN
9606.ENSP00000275525	IBP1_HUMAN
9606.ENSP00000264279	NOP58_HUMAN
9606.ENSP00000415056	EXD1_HUMAN
9606.ENSP00000339250	DPPA3_HUMAN
9606.ENSP00000254940	NIP7_HUMAN
9606.ENSP00000340568	COX8C_HUMAN
9606.ENSP00000283290	ATG3_HUMAN
9606.ENSP00000303997	GTPB2_HUMAN
9606.ENSP00000356234	KDM5B_HUMAN
9606.ENSP00000337972	GDPD5_HUMAN
9606.ENSP00000405210	SPXN4_HUMAN
9606.ENSP00000474823	CHMP3_HUMAN
9606.ENSP00000253262	NTM2F_HUMAN
9606.ENSP00000333800	MRGX2_HUMAN
9606.ENSP00000375857	LRRF1_HUMAN
9606.ENSP00000327950	CS071_HUMAN
9606.ENSP00000348069	SRBP1_HUMAN
9606.ENSP00000303276	RNAS2_HUMAN
9606.ENSP00000255674	RTTN_HUMAN
9606.ENSP00000450864	P4R3A_HUMAN
9606.ENSP00000294952	PPR21_HUMAN
9606.ENSP00000203664	OTUB2_HUMAN
