From	To
ENSP00000356329	ULBP5_HUMAN
ENSP00000376765	PIAS3_HUMAN
ENSP00000414558	ABHD4_HUMAN
ENSP00000485467	T53G3_HUMAN
ENSP00000386597	GPT_HUMAN
ENSP00000460274	PCDG9_HUMAN
ENSP00000227520	CCD86_HUMAN
ENSP00000365950	RBM3_HUMAN
ENSP00000433560	CRYAB_HUMAN
ENSP00000295408	MERTK_HUMAN
ENSP00000468424	NMT1_HUMAN
ENSP00000358983	NFKB2_HUMAN
ENSP00000347213	ENTP2_HUMAN
ENSP00000215057	MZF1_HUMAN
ENSP00000234454	SPRE_HUMAN
ENSP00000381577	UBP34_HUMAN
ENSP00000274487	A0A1X7SBR9_HUMAN
ENSP00000266604	LLPH_HUMAN
ENSP00000450580	RNS12_HUMAN
ENSP00000286234	DPTOR_HUMAN
ENSP00000436426	PCDA7_HUMAN
ENSP00000362111	TSN6_HUMAN
ENSP00000378295	INCE_HUMAN
ENSP00000243673	GPR83_HUMAN
ENSP00000310490	MOT11_HUMAN
ENSP00000334287	KR212_HUMAN
ENSP00000466514	K7EMI3_HUMAN
ENSP00000363135	ILRUN_HUMAN
ENSP00000365503	SHSA7_HUMAN
ENSP00000371940	FOXD4_HUMAN
ENSP00000364661	SPXN5_HUMAN
ENSP00000447149	NR1H4_HUMAN
ENSP00000363993	PSB9_HUMAN
ENSP00000346725	PESC_HUMAN
ENSP00000432695	TRM9B_HUMAN
ENSP00000330075	OGFD3_HUMAN
ENSP00000468897	FPR2_HUMAN
ENSP00000253381	DB118_HUMAN
ENSP00000359181	DPOLL_HUMAN
ENSP00000353516	OR2W3_HUMAN
ENSP00000261708	UTP6_HUMAN
ENSP00000464932	MFS11_HUMAN
ENSP00000454207	TRAF3_HUMAN
ENSP00000379204	BMP7_HUMAN
ENSP00000372804	MCES_HUMAN
ENSP00000336721	LARP1_HUMAN
ENSP00000378570	ST1A3_HUMAN
ENSP00000389377	NFAC1_HUMAN
ENSP00000376800	MTPN_HUMAN
ENSP00000454264	H3BM74_HUMAN
ENSP00000376506	PDC10_HUMAN
ENSP00000318029	OD3L2_HUMAN
ENSP00000251089	ANGE1_HUMAN
ENSP00000221980	ICAM5_HUMAN
ENSP00000347088	LARG1_HUMAN
ENSP00000365227	AIF1_HUMAN
ENSP00000303246	ACO12_HUMAN
ENSP00000293303	KLH10_HUMAN
ENSP00000328359	DEF3_HUMAN
ENSP00000444215	TP8L1_HUMAN
ENSP00000293670	KRT83_HUMAN
ENSP00000363463	MACOI_HUMAN
ENSP00000386607	VSTM5_HUMAN
ENSP00000377690	TTC23_HUMAN
ENSP00000423190	AADAT_HUMAN
ENSP00000270625	RS11_HUMAN
ENSP00000366549	A0A1X7SBT2_HUMAN
ENSP00000404296	PKHA5_HUMAN
ENSP00000349156	SIAH1_HUMAN
ENSP00000263579	DCPS_HUMAN
ENSP00000244534	H13_HUMAN
ENSP00000219097	ORC6_HUMAN
ENSP00000478645	ICA1L_HUMAN
ENSP00000297161	BMPER_HUMAN
ENSP00000449960	CACO1_HUMAN
ENSP00000482841	RABP2_HUMAN
ENSP00000357812	TDRKH_HUMAN
ENSP00000367315	LR10B_HUMAN
ENSP00000419502	LR75A_HUMAN
ENSP00000452245	RNAS4_HUMAN
ENSP00000335147	ANR37_HUMAN
ENSP00000380921	SH3K1_HUMAN
ENSP00000327959	TGIF1_HUMAN
ENSP00000458162	ACTG_HUMAN
ENSP00000383641	CRLF2_HUMAN
ENSP00000358016	SCML4_HUMAN
ENSP00000357178	INSRR_HUMAN
ENSP00000300584	TBD2B_HUMAN
ENSP00000364165	A0A1B0GWZ1_HUMAN
ENSP00000396052	G5E9I4_HUMAN
ENSP00000262812	COPE_HUMAN
ENSP00000339017	ATAD1_HUMAN
ENSP00000370639	ASMT_HUMAN
ENSP00000440896	PLD5_HUMAN
ENSP00000343885	IPYR2_HUMAN
ENSP00000464976	ZN850_HUMAN
ENSP00000302961	HSP74_HUMAN
ENSP00000265720	DUS4L_HUMAN
ENSP00000367081	NPT3_HUMAN
ENSP00000318982	ESIP1_HUMAN
ENSP00000265070	GOLP3_HUMAN
ENSP00000330753	BRWD1_HUMAN
ENSP00000363545	ZDBF2_HUMAN
ENSP00000285420	A0A087X0W9_HUMAN
ENSP00000403980	CLD34_HUMAN
ENSP00000218004	NXT2_HUMAN
ENSP00000410339	TOM40_HUMAN
ENSP00000371398	GLIS3_HUMAN
ENSP00000360483	NDC1_HUMAN
ENSP00000457748	RGSL_HUMAN
ENSP00000379368	ZNF35_HUMAN
ENSP00000263270	AP2S1_HUMAN
ENSP00000304078	FA83B_HUMAN
ENSP00000310406	RIN1_HUMAN
ENSP00000364133	TGFR1_HUMAN
ENSP00000269187	S39A6_HUMAN
ENSP00000452401	H0YJX3_HUMAN
ENSP00000338019	DNJB2_HUMAN
ENSP00000269385	CBX8_HUMAN
ENSP00000375236	KRA47_HUMAN
ENSP00000346892	SERF1_HUMAN
ENSP00000379602	VAMP1_HUMAN
ENSP00000261769	CADH1_HUMAN
ENSP00000263980	SL9A1_HUMAN
ENSP00000302393	LDH6B_HUMAN
ENSP00000335246	ENTP5_HUMAN
ENSP00000411152	IP3KB_HUMAN
ENSP00000267260	SRRM4_HUMAN
ENSP00000367316	ITA8_HUMAN
ENSP00000205194	NAT14_HUMAN
ENSP00000355187	LRRT3_HUMAN
ENSP00000377250	MON2_HUMAN
ENSP00000260843	GPR87_HUMAN
ENSP00000386804	SNORC_HUMAN
ENSP00000444136	RPA2_HUMAN
ENSP00000362170	NAIF1_HUMAN
ENSP00000253727	NR1H2_HUMAN
ENSP00000340226	LMX1A_HUMAN
ENSP00000330918	PGP_HUMAN
ENSP00000440556	GRM4_HUMAN
ENSP00000458130	A0A0G2JP48_HUMAN
ENSP00000300026	PPIB_HUMAN
ENSP00000274764	H2B1A_HUMAN
ENSP00000300404	B4GN2_HUMAN
ENSP00000371805	FXL18_HUMAN
ENSP00000361475	NCS1_HUMAN
ENSP00000333019	PURA1_HUMAN
